gene_symbol,uniprot_id,protein_groups,protein_description,mol_weight_da,n_precursors_exp,n_samples_detected,pct_samples_detected,median_precursors_used,mean_log2_D14,mean_log2_D21,mean_log2_M03,mean_log2_M06,mean_log2_M12,mean_log2_M18,D14.20713.Quantity.log2,D14.20714-40ul.Quantity.log2,D14.20715.Quantity.log2,D14.20716.Quantity.log2,D14.20717.Quantity.log2,D21.20718.Quantity.log2,D21.20719b.Quantity.log2,D21.20720.Quantity.log2,D21.20721-40ul.Quantity.log2,D21.20722.Quantity.log2,M03.20723.Quantity.log2,M03.20724.Quantity.log2,M03.20725.Quantity.log2,M03.20726-40ul.Quantity.log2,M03.20727.Quantity.log2,M06.20728b.Quantity.log2,M06.20729.Quantity.log2,M06.20730.Quantity.log2,M06.20731.Quantity.log2,M06.20732.Quantity.log2,M12.20733.Quantity.log2,M12.20734.Quantity.log2,M12.20735.Quantity.log2,M12.20736.Quantity.log2,M12.20737.Quantity.log2,M18.20740-40ul.Quantity.log2,M18.20741.Quantity.log2,M18.20742.Quantity.log2,M18.20743.Quantity.log2,M18.20744.Quantity.log2,p.value.M03-D14,adj.p.value.M03-D14,log2.fold.change.M03-D14,is.significant.M03-D14,t.statistic.M03-D14,p.value.M18-M03,adj.p.value.M18-M03,log2.fold.change.M18-M03,is.significant.M18-M03,t.statistic.M18-M03,go_molecular_function,go_biological_process,go_cellular_component,kegg_pathway
Ighm,A0A075B5P6,A0A075B5P6;A0A075B6A0;P01872,Immunoglobulin heavy constant mu (Fragment),,14,28,93.3,5,6.904194474873529,5.76770551263334,6.938994739373284,7.826465409222344,8.528062175560201,9.518446768657814,,5.9628283301278335,6.279080594515728,7.503183374836894,7.871685600013663,6.449958927979382,,4.704937375466873,6.355058266639146,5.560867480447961,8.045564877312403,8.386099958789853,5.223156067853647,6.374480093369916,6.6656726995406,8.065537097531216,7.817387429287978,8.497808235003207,6.8645823382754445,7.887011946013875,8.723615848654017,7.903878996350659,8.572933440954253,8.805277350573279,8.634605241268801,9.278153642106528,8.799058452236364,8.769293170861607,9.61813453454981,11.127594043534762,0.4448041367188573,0.602378688652,0.8798566034041198,FALSE,0.8115179774254466,0.00817085904859698,0.0602941100207962,2.57945202928453,FALSE,3.5784537665266503,,,,
Ighv5-16,A0A075B5R0,A0A075B5R0;A0A0B4J1P4,Immunoglobulin heavy variable 5-16,13217.18,3,15,50,2,4.651075128544633,,3.443468265015279,4.868303089556266,4.608968988241668,5.243298680328477,4.651075128544633,,,,,,,,,,3.7583317034998225,3.181419203754145,3.587131977693922,,3.246990175113226,5.020689556620196,4.742029771012157,5.346789098925591,4.738989132512814,4.49301788871057,4.728749678799331,,4.98112998844651,,4.117027297479163,5.603712926147363,4.8828844345095925,,,,0.4396156249046397,0.597866389877305,0.553228230556293,FALSE,0.8523995094690435,0.5823791005087879,0.699086937783709,0.4639802629549772,FALSE,0.5955870038824593,antigen binding;binding,immune system process;response to stimulus,,
Ighv6-3,A0A075B5T2,A0A075B5T2,Immunoglobulin heavy variable 6-3 (Fragment),13259.1,6,26,86.7,3,4.92989893657899,4.403502958621989,5.1904603200740125,5.742170248563606,5.985134148189986,6.025873426833134,,4.29666209859135,4.090968481449487,6.131505482133566,5.200459684141556,3.865611706254363,,,5.176819756461633,4.168077413149973,5.4978653557232064,6.127815681573694,4.584719984801213,,4.55144025819794,5.7098230967202666,5.548738788617237,5.999879349125616,5.59832777396141,5.854082234393501,7.550303741418848,5.424127451758936,4.909373080434652,5.489001574793323,6.552864892544168,5.410913097902197,6.184882907761065,6.487576948239983,5.840165440839637,6.2058287394227865,0.34614609162267207,0.512258637442089,0.7463812593374923,FALSE,1.0280923221201437,0.04055353829848237,0.126874641248109,0.9011561332301056,FALSE,2.539553572627633,antigen binding;binding,immune system process;response to stimulus,,
Ighv1-26,A0A075B5V0,A0A075B5V0,Immunoglobulin heavy variable 1-26 (Fragment),12910.57,6,28,93.3,3,7.645415928549305,6.969573972973472,7.60837922516441,8.002127073781683,7.364851160875548,8.87587736423426,6.5065623100260845,5.824329499510175,7.2260478720332735,9.675291083542517,8.994848877634475,6.536051761596003,,,7.201357884873215,7.171312272451201,7.331130847120168,10.292219670642242,6.482387372246316,7.52571076624478,6.410447469568549,8.486819680868729,7.471230777653625,8.595780708307812,7.296284143482895,8.160520058595361,7.635681370272882,7.1186781503953505,7.185432463840472,8.77749472496698,6.1069690949020625,7.481247596174407,7.052818430633683,11.717176137253457,8.804241627565974,9.323903029543768,0.9718661833858724,0.985179837533038,-0.03703670338489484,FALSE,-0.03638736646915451,0.27702778702137454,0.417521497961807,1.2674981390698496,FALSE,1.1683878550631557,antigen binding;binding,immune system process;response to stimulus,,
Ighv1-42,A0A075B5V6,A0A075B5V6,Immunoglobulin heavy variable V1-42,10776.13,5,30,100,2,8.219308446277044,6.406899713305518,8.278773460438881,8.723232170999546,8.29157874786041,9.35125986553948,6.310955115976564,6.6515258404407165,7.776719158099413,10.373518087358594,9.983824029509938,6.145240906902882,4.421826381533425,5.483488608030451,8.047364753550026,7.936577916510807,8.006601047979727,10.681013054590196,7.537776014676876,7.691887573132216,7.476589611815383,8.79625264884426,8.072170557754763,9.181933695527889,8.389739640035877,9.176064312834937,8.788386482536442,7.8583854416256465,7.5958564961595,8.842930546401645,8.37233477257882,7.6415027593676195,7.56000121901927,12.172583618717148,9.58818700890905,9.794024721684318,0.9557332327898672,0.975908738555265,0.05946501416183558,FALSE,0.05744457748346018,0.3365547968150887,0.474694826124626,1.0724864051005998,FALSE,1.0290092195602645,antigen binding;binding,immune system process;response to stimulus,,
Ighv1-62-2,A0A075B680,A0A075B680;A0A0A6YXZ4;A0A0G2JFL3,Immunoglobulin heavy variable 1-62-2,11224.6,5,12,40,3,4.372435976094181,,4.952725825892765,4.786511588481061,6.362560554029073,5.303678059995076,,,,4.477581898430512,4.26729005375785,,,,,,5.680203902786817,4.225247748998713,,,,4.342970001567282,5.076273303911433,4.940291459964467,,,5.846315427233691,7.495972347633073,5.641675177867696,6.466279263381831,,,5.303678059995076,,,,,,,FALSE,,,,,FALSE,,antigen binding;binding,immune system process;response to stimulus,,
Igha,A0A075B6A3,A0A075B6A3;A0A0A6YXW6,Immunoglobulin heavy constant alpha (Fragment),,6,29,96.7,3,4.823655729709824,3.668529300199742,7.346808820225554,7.679998746768868,8.093851811163557,6.8365545401590255,3.902560321981956,3.9328376727652983,4.525439322954032,6.236742689589583,5.52069864125825,4.452803527122254,2.3927551423017017,3.752860199237397,,4.075698332137616,6.875445367565772,7.136203092953156,8.023417826774985,7.9183945951448544,6.780583218689006,7.884802420765253,7.697234107036693,7.403257308410841,7.367399553160166,8.047300344471392,7.935335213502446,7.413716497874983,7.8568665916876625,7.57632160576445,9.68701914698824,7.717618485400724,5.106813865722699,7.026931156922494,7.201647141160179,7.129762051589033,0.00263686362552434,0.0292632091367205,2.5231530905157307,TRUE,4.774603304240056,0.3613414682870306,0.500602997670645,-0.5102542800665288,FALSE,-0.9823994490490688,antigen binding;receptor binding;binding;protein binding;immunoglobulin receptor binding,immune system process;response to stress;metabolic process;response to biotic stimulus;protein metabolic process;macromolecule metabolic process;primary metabolic process;response to stimulus;multi-organism process;biological regulation,extracellular space;immunoglobulin complex;macromolecular complex;protein complex,
Eloc,A0A087WNT1,A0A087WNT1;A0A087WQE6;P83940,Elongin-C,14939.68,15,30,100,10,7.8718293700956155,8.204524199132447,8.215853431098969,7.992144725980995,7.837746328358145,7.445718676728196,8.063145872013362,7.937659825036714,7.795473924578464,8.278487884338,7.284379344511533,8.28646004461379,8.060019694609867,7.913112014454638,8.478349707623549,8.284679534360391,8.11582013652659,8.061131029843258,7.8883238115036285,8.958372788580109,8.055619389041263,8.316119501231933,8.173832806302304,7.7496288665338335,7.830436579012909,7.890705876823991,8.225005124034908,7.745504255289592,8.026080312865977,7.723511071085937,7.468630878514313,7.865202860709027,7.392106835128097,7.920353400647902,7.157029994656785,6.893900292499171,0.2107917557058051,0.375283155453671,0.3440240610033536,FALSE,1.3622895118801903,0.02315834816115506,0.093786368726612293,-0.7701347543707726,FALSE,-2.802626112967349,,"nucleobase-containing compound metabolic process;transcription initiation, DNA-dependent;protein modification process;proteolysis;nitrogen compound metabolic process;metabolic process;catabolic process;biosynthetic process;cellular process;RNA metabolic process;protein metabolic process;cellular nitrogen compound metabolic process;macromolecule metabolic process;macromolecule modification;cellular metabolic process;primary metabolic process;proteolysis involved in cellular protein catabolic process;protein modification by small protein conjugation or removal",ubiquitin ligase complex;transcription elongation factor complex;macromolecular complex;protein complex;cell part,
Agfg1,A0A087WNV1,A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6,ArfGAP with FG repeats 1,53974.67,10,30,100,5,6.367027222791472,7.047259776077434,6.465408081818936,6.483139751586205,5.62486939612734,5.35265931989569,6.95055776582595,6.481157533340235,6.7896796996246,5.905416754302632,5.70832436086394,6.776519177296491,7.304304664579376,6.910758272453751,6.931162754273507,7.313554011784041,5.994747041332439,6.011864149225019,6.549007294304094,7.040430702672356,6.7309912215607675,6.635186260164927,6.272254879156276,6.933555684814029,5.912918291823373,6.661783641972419,5.811688364951068,5.770672058279453,5.4983594955946655,6.411703118983355,4.631923942828163,5.331121414011623,4.6595714456948905,5.686268722700869,4.738861248053041,6.347473769018025,0.764720751582011,0.853038268253832,0.09838085902746396,FALSE,0.30998280061876665,0.02099199656060278,0.0892003197134867,-1.1127487619232452,FALSE,-2.977173923588146,GTPase activator activity;enzyme activator activity;enzyme regulator activity;GTPase regulator activity;nucleoside-triphosphatase regulator activity,,,
Clasp1,A0A087WNW8,A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;E9Q6L0;E9QKH0;J3QP81;Q80TV8,CLIP associating protein 1,162851.24,20,26,86.7,5,4.739689884806561,4.835329081871498,4.661133173047297,4.667182909589277,4.255993545388694,4.073298389773461,4.351569723341554,5.113321856219236,4.354882916774844,5.441903412758401,4.436771514938769,5.248335579609621,4.206905550873368,5.099965428577132,5.059954528197182,4.5614843221001875,4.700248884154417,4.013000748557737,4.711188025456053,5.5783763771164,4.302851829951878,5.042168344495379,4.527154101163485,4.40548805735236,4.9209484902822,4.44015555465296,4.435007120276001,4.389453577092543,4.64210844823885,3.5574050359473812,,,4.192111123497798,3.954485656049123,,,0.8270174646571407,0.894097107608783,-0.07855671175926382,FALSE,-0.2259752610668069,0.11587200956395163,0.234711925456115,-0.8432504817547306,FALSE,-1.792835019535742,,biological regulation,kinetochore;cytoplasm;macromolecular complex;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;protein complex;cell part,
Selenoh,A0A087WPM0,A0A087WPM0;Q3UQA7,Selenoprotein H,13537.63,8,26,86.7,3.5,4.836327840949505,4.857547235011642,4.334744071296247,4.343876967707095,4.353143659033879,4.457302265913691,5.0592984106467265,5.198868692973148,4.693415703410581,3.99460583944781,5.2354505582692585,4.642421499061456,4.5162471918686045,4.79923527077737,5.745588779278714,4.584243434072071,4.724252266155983,3.644360987478776,4.553121496212583,,4.417241535337644,4.106225855630695,4.2106691145404245,4.460859680939267,4.198796319865578,4.7428338675595105,3.5587240861368605,4.323669296774551,,5.066219788684918,4.463961464539189,5.210090434614949,3.592808302482553,,4.569008060643572,,0.09803084397800917,0.229623642409111,-0.7934911667191882,FALSE,-1.90873012833733,0.51831690370294,0.643685158055516,-0.5284765319113442,FALSE,-0.6867430483453641,,,,
Abi2,A0A087WPP8,A0A087WPP8;A0A087WRS3;P62484;Q6AXD2;Q6AXH6,Abl interactor 2,52482.86,10,30,100,5,5.500608291543804,5.48093448334331,5.069982271040064,5.228205439893708,5.257341434439733,4.9370798167868895,5.847036025313658,5.397031145328599,5.139761951128221,5.704887364734721,5.414324971213824,5.716282554838976,5.903711516128226,5.801307442777057,5.099530651648769,4.883840251323517,5.212475308214621,4.953816167554358,5.034649538148519,5.3264076789144195,4.822562662368403,5.348016785246806,5.318554256133011,4.951469974596125,5.431638128535233,5.0913480549573675,5.743792810609668,4.98826731795175,5.26971625679054,5.331971239907455,4.952959546939255,5.201433719302123,4.602556270971157,4.417861912550551,5.16274903713496,5.300798143975654,0.02537293711324536,0.101933608041022,-0.4306260205037402,FALSE,-2.8027123497889455,0.5305466786234089,0.65519565364845,-0.13290245425317426,FALSE,-0.6659240605548001,,,cytoskeleton;filopodium;cell projection;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;cell part,
Morf4l1,A0A087WQB0,A0A087WQB0,Mortality factor 4 like 1,34343.36,10,18,60,3.5,4.681988767950973,4.6040789355174105,4.022353789045449,4.455906090232841,3.1578919732437747,4.34611357469993,4.909646105555695,,5.006102263326752,4.467806893708801,4.344399809212645,4.59970301518716,4.5609420936102785,5.003999411319126,,4.251671221953076,4.220457302042805,3.9401675033968977,4.172257340107908,,3.756533010634186,,4.464702658138699,,4.35510828585297,4.547907326706854,2.8866682823588907,3.429115664128659,,,,,,4.34611357469993,,,0.7312155813905906,0.831594815544324,-0.21199557062715568,FALSE,-0.36591912370637697,0.4239078277472689,0.559122346813284,-0.5028592647620691,FALSE,-0.879851243123802,,chromatin organization;organelle organization;cellular process;cellular component organization;chromosome organization;biological regulation,nucleus;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,
Kif1a,A0A087WQE8,A0A087WQE8;E9Q9G6;E9QAN4;G3UW47;P33173;Q6TA13,Kinesin family member 1A,202173.89,6,14,46.7,2,3.980493236330728,4.0003649391636795,3.8906507738899547,2.423684148152161,3.4240686384354335,4.105284299737936,,4.226077573941208,,4.468609501632715,3.24679263341826,4.557563731547794,,,,3.4431661467795656,4.050010694667539,3.731290853112371,,,,,2.423684148152161,,,,2.830027315579752,3.782344793950869,4.039279032873514,,3.0446234113375974,,3.6993249458168815,,,4.51124365365899,,,,FALSE,,,,,FALSE,,"nucleotide binding;motor activity;microtubule motor activity;catalytic activity;binding;protein binding;ATP binding;microtubule binding;cytoskeletal protein binding;tubulin binding;pyrophosphatase activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;purine nucleotide binding;nucleoside-triphosphatase activity;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding;identical protein binding",cellular component movement;cellular process,cytoplasm;macromolecular complex;cell projection;neuron projection;protein complex;cell part,
Xrn1,A0A087WQN7,A0A087WQN7;F8VQ87,5'-3' exoribonuclease 1,194301.41,9,24,80,5,4.816586377483366,4.736827890712061,4.683916851778604,5.200382631920767,5.115614591339484,4.768190681430804,5.0382987872673395,5.073491603606751,5.1067330505059925,4.839758255739211,4.024650190297539,5.1758577296634325,4.22718022878788,4.410583201708744,5.2980029771635655,4.572515316236681,5.434249744586108,4.3306280721787775,4.733466701685057,,4.237322888664473,,4.909522142806882,4.9573741540476215,5.7342515989077985,,5.22597479097339,5.011584721735653,5.13765051452364,4.747281600959554,5.455581328505181,,4.6894769023219,4.846904460539707,,,0.4083913254488687,0.568996787466275,-0.29202534325274776,FALSE,-0.8755996480876628,0.43816125534457107,0.572353793973844,-0.2874968078341258,FALSE,-0.8166144377014815,"nucleic acid binding;RNA binding;catalytic activity;nuclease activity;exonuclease activity;binding;5'-3' exonuclease activity;hydrolase activity;hydrolase activity, acting on ester bonds",nucleobase-containing compound metabolic process;RNA catabolic process;nitrogen compound metabolic process;metabolic process;catabolic process;cellular process;RNA metabolic process;mRNA metabolic process;cellular nitrogen compound metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process,cytoplasm;cell part,Ribosome biogenesis in eukaryotes;RNA degradation
Tns1,A0A087WQS0,A0A087WQS0,Tensin 1,198978.89,48,30,100,19,6.822115943457415,6.764542004935777,7.415669757082173,7.489469157741153,7.095590698886502,7.140523387396319,7.015537048231511,6.59878720401854,6.909365205704134,6.828200610918084,6.758689648414803,6.594648765257747,6.932356246087965,6.756280627677752,6.478926838966833,7.06049754668859,7.407246755359815,7.35805769598332,7.517670349171606,7.24097237958796,7.554401605308168,7.499519657073855,7.759901995723125,7.430021017057814,7.266044885981938,7.491858232869037,7.177732183421169,7.023493801664288,7.01985079835427,7.090279472361449,7.166597238631334,7.039109316410908,7.299917875460248,7.10331870742227,7.016751849712137,7.243519187976032,2.113665364269596e-4,0.010986678127814,0.5935538136247587,TRUE,6.5844888594318025,0.00858319410266383,0.061467148098206,-0.2751463696858538,FALSE,-3.4587989518469757,"catalytic activity;phosphoprotein phosphatase activity;binding;hydrolase activity;hydrolase activity, acting on ester bonds;phosphatase activity;phosphoric ester hydrolase activity;ion binding;cation binding;metal ion binding",,,
