gene_symbol,uniprot_id,protein_groups,protein_description,mol_weight_da,n_precursors_exp,n_samples_detected,pct_samples_detected,median_precursors_used,mean_log2_D14,mean_log2_D21,mean_log2_M03,mean_log2_M06,mean_log2_M12,mean_log2_M18,D14.20747.Quantity.log2,D14.20748.Quantity.log2,D14.20749.Quantity.log2,D14.20750.Quantity.log2,D14.20751.Quantity.log2,D21.20752.Quantity.log2,D21.20753.Quantity.log2,D21.20754.Quantity.log2,D21.20755.Quantity.log2,D21.20756.Quantity.log2,M03.20757.Quantity.log2,M03.20758.Quantity.log2,M03.20759.Quantity.log2,M03.20760.Quantity.log2,M03.20761.Quantity.log2,M06.20762.Quantity.log2,M06.20763.Quantity.log2,M06.20764.Quantity.log2,M06.20765.Quantity.log2,M06.20766.Quantity.log2,M12.20768.Quantity.log2,M12.20769.Quantity.log2,M12.20770.Quantity.log2,M12.20771.Quantity.log2,M12.20772.Quantity.log2,M18.20775b.Quantity.log2,M18.20776-40ul.Quantity.log2,M18.20777.Quantity.log2,M18.20778.Quantity.log2,M18.20779.Quantity.log2,p.value.M03-D14,adj.p.value.M03-D14,log2.fold.change.M03-D14,is.significant.M03-D14,t.statistic.M03-D14,p.value.M18-M03,adj.p.value.M18-M03,log2.fold.change.M18-M03,is.significant.M18-M03,t.statistic.M18-M03,go_molecular_function,go_biological_process,go_cellular_component,kegg_pathway
Ighm,A0A075B5P6,A0A075B5P6;A0A075B6A0,Immunoglobulin heavy constant mu (Fragment),,34,20,66.7,14,,,6.852250427468091,7.994696793470375,8.979235292393495,10.017781553507586,,,,,,,,,,,7.274378722031829,7.330332779445931,6.573743328459848,6.174235091996288,6.9085622154065645,8.287484686271414,8.264564869955992,7.963226571194728,8.233785977254785,7.224421862674958,9.694431007783225,8.677493734087511,8.96650747615989,8.984766638697684,8.572977605239167,9.683730117008215,9.19308749996094,9.32102097964478,10.310992131467298,11.580077039456691,1.320023601332438e-4,0.00234860825694901,4.148048843491542,TRUE,8.693489007264223,6.894493888058737e-4,0.0246289028653309,3.165531126039495,TRUE,6.494765372482637,,,,
Ighv5-9,A0A075B5Q2,A0A075B5Q2,Immunoglobulin heavy variable 5-9 (Fragment),12794.75,4,6,20,3,,,2.8994274574969405,,4.237976062987071,7.960405337632736,,,,,,,,,,,,,,2.8994274574969405,,,,,,,,,,,4.237976062987071,6.154211946244893,9.097211876743216,,9.665666519761167,6.924531007781665,,,,FALSE,,0.01462904636348667,0.104263211973265,4.398277846550371,FALSE,3.827923635974289,antigen binding;binding,immune system process;response to stimulus,,
Ighv5-16,A0A075B5R0,A0A075B5R0;A0A0B4J1P4,Immunoglobulin heavy variable 5-16,13217.18,4,25,83.3,2,4.183186280650288,,4.012173941592794,5.1038807204016745,4.60822457162674,5.3060682455202155,4.99682385641688,5.027699845149673,3.9190952729569406,3.3331801966568753,3.639132232071071,,,,,,3.5157319563914196,4.922161440253476,3.3235641665165025,4.699758611926996,3.5996535328755703,4.974082112794826,5.1141421732799905,5.986807614848342,4.155201020751185,5.28917068033403,5.079945005924406,3.9590913882746506,5.919341821136688,3.8038124510589015,4.278932191739048,5.068489323321053,6.437792575839242,3.5275495482897945,5.656917102328387,5.8395926778225995,0.7321808628242881,0.815891346678987,-0.17101233905749424,FALSE,-0.3544679921871488,0.06657320936630733,0.230202734641502,1.2938943039274218,FALSE,2.171658096755375,antigen binding;binding,immune system process;response to stimulus,,
Ighv14-1,A0A075B5R4,A0A075B5R4,Immunoglobulin heavy variable 14-1 (Fragment),12991.63,3,22,73.3,2,4.816282157168654,4.552363862203898,4.718531613373266,6.095361876166569,6.211680443529428,6.217447021612734,5.028153609250782,,,4.6044107050865275,,,4.552363862203898,,,,5.2298227563879,5.127460383117584,5.058713164769201,4.111835960391345,4.064825802200299,6.605866840758645,6.031662674168805,6.15139689924536,6.148493029383957,5.5393899372760815,6.0789824078435615,6.498270372968121,,4.792669771891201,7.476799221414827,7.170897407531115,5.983653141193558,6.921656826587333,5.479252576791643,5.531775155960022,0.2086290326252328,0.338800133950175,0.8491288240496795,FALSE,1.4161607966176175,0.01015961977424276,0.0869758932214909,1.4989154082394671,FALSE,3.432209612004675,antigen binding;binding,immune system process;response to stimulus,,
Ighv4-1,A0A075B5R5,A0A075B5R5,Immunoglobulin heavy variable 4-1 (Fragment),12873.92,4,26,86.7,2.5,4.600363423358874,3.806589487198419,6.254208671628449,6.333592353023652,5.990986915526981,6.056231646199864,,4.907529862520964,4.80110116882201,,4.092459238733648,4.233254538242934,3.8270264077617417,3.359487515590582,,,6.050746598221465,6.268110762034539,6.541566008679554,6.875924326337209,5.534695662869477,6.617170479915442,7.122216770731496,5.5583999255713294,5.939105145242579,6.431069443657418,5.800830697994718,6.576426795546143,6.059139617040754,5.637866371127,5.88067109592629,5.696798408061033,6.289855527798798,5.6237684312948995,6.062238050515002,6.608497813329587,0.01328584011440274,0.0496705427568209,2.686353006500536,TRUE,3.787474244830646,0.5175656637347137,0.715195027156525,-0.1979770254285853,FALSE,-0.6782134482695323,antigen binding;binding,immune system process;response to stimulus,,
Ighv6-3,A0A075B5T2,A0A075B5T2,Immunoglobulin heavy variable 6-3 (Fragment),13259.1,7,22,73.3,3,4.917328101655674,,5.298657899294506,5.803974192003994,6.127747855115957,7.052440430069962,,,,4.959840753909636,4.87481544940171,,,,,,7.017401092999129,4.38869987956144,4.855148782079563,5.110523772387256,5.121515969445137,4.806402806821855,6.194654520528702,5.749427550085848,5.933619975033749,6.335766107549814,7.347884496241653,6.323433189608567,5.5261267925422874,5.074993662956868,6.366301134230411,5.950585975187355,6.383203952474407,9.191336384510237,6.823561026041565,6.913514812136244,0.0410884604088583,0.108936057286861,1.9768851840594084,FALSE,2.4912420851874892,0.04212164627155396,0.180146747709987,1.7537825307754558,FALSE,2.437443687512356,antigen binding;binding,immune system process;response to stimulus,,
Ighv1-22,A0A075B5U7,A0A075B5U7,Immunoglobulin heavy variable 1-22 (Fragment),13021.73,5,30,100,4,7.579430405003083,5.062922253337129,7.479665836356489,8.440766563615146,8.701203127357129,9.68368297746253,7.398349020581646,7.085428694354282,7.226537140382391,7.590247466679322,8.596589703017774,4.69940904169271,5.511476520269826,5.155386030003138,5.182756531227498,4.765583143492473,7.436948242319578,7.1893570672830265,7.662522786608409,7.908898322192264,7.200602763379164,8.309060929235526,8.025954813542306,9.094433568130736,8.470566534238376,8.303816972928775,9.630808687337987,8.213066385860408,8.469164824925237,8.315851620599792,8.877124118062213,7.633939428927947,8.611128500438124,12.807726258514272,8.763667466011954,10.601953233420351,0.751981183870003,0.830892789584756,-0.09976456864659422,FALSE,-0.33092101135049595,0.07336399497337841,0.242329796427647,2.204017141106041,FALSE,2.377843800998407,antigen binding;binding,immune system process;response to stimulus,,
Ighv1-62-2,A0A075B680,A0A075B680,Immunoglobulin heavy variable 1-62-2,11224.6,8,22,73.3,3,5.029955991262862,,4.808457165665015,5.826345189051269,8.57323207581291,6.081645884288757,,4.675846690708523,,4.643126358486898,5.770894924593167,,,,,,,5.051498721865985,4.574969719036315,4.579488469250988,5.027871752506771,6.077361598510041,5.073152096352696,5.673469970735174,6.49659379332024,5.811148486338195,8.920411103289931,10.016389030017736,8.218392806400642,9.384049617021187,6.326917822335064,6.321352319678609,6.9594618303230025,4.927499124068383,6.389048607185795,5.810867540187994,0.7560489883350112,0.83305006045418994,0.1227486923993526,FALSE,0.32663996763614545,0.0116784094109332,0.0923090302572777,1.3828883934031948,FALSE,3.707377336730782,antigen binding;binding,immune system process;response to stimulus,,
Igha,A0A075B6A3,A0A075B6A3;A0A0A6YXW6,Immunoglobulin heavy constant alpha (Fragment),,13,20,66.7,6,,,7.372914363995678,7.851974440396084,8.510398837716597,8.129344827415855,,,,,,,,,,,7.077551321910844,7.261178580472449,8.27505484935681,7.17005784236944,7.080729225868845,7.795871214638824,8.221633729250708,7.513741207691574,8.023044493354304,7.705581557045005,8.620352853090099,8.076390423867863,8.641222369943844,7.387947365259226,9.826081176421948,8.080415166131031,7.679144699385738,7.698978024989609,8.503644886192658,8.68454136038024,1.2756824779415305e-6,1.7240280899188e-4,4.13477940214127,TRUE,12.843439255761629,0.03915823141854257,0.172817932755566,0.7564304634201768,FALSE,2.4680325290065306,antigen binding;receptor binding;binding;protein binding;immunoglobulin receptor binding,immune system process;response to stress;metabolic process;response to biotic stimulus;protein metabolic process;macromolecule metabolic process;primary metabolic process;response to stimulus;multi-organism process;biological regulation,extracellular space;immunoglobulin complex;macromolecular complex;protein complex,
Hsf1,A0A075F5C6,A0A075F5C6;A0A2R8W6L8;P38532;Q52L52,Heat shock factor 1,57879.26,7,29,96.7,3,5.737034096857705,5.6913521170425785,5.493468137094563,5.485643786658042,5.211025308614812,5.503405886910628,5.543384823788081,6.350054853373204,5.626607171368248,5.771115942523429,5.3940076932355625,5.647045650220715,5.593036807047883,5.344842017207996,5.840482711898805,6.031353398837494,5.7772289235022845,5.654058201339146,5.739168522629873,4.714717897957173,5.582167140044341,5.501999561545862,5.657620586028147,5.13789702892373,5.6436296502003325,5.487072106592137,4.83886162070913,5.565437869290687,5.610774122473147,4.80713172044964,5.2329212101514555,5.463613173999209,5.431299546352174,5.468685934954396,,5.650024892336734,0.372610328504123,0.513534580138557,-0.2435659597631421,FALSE,-0.9461763151750796,0.388824494454565,0.611576401117469,-0.7274396107497765,FALSE,-0.9516949509271556,regulatory region DNA binding;transcription regulatory region sequence-specific DNA binding;RNA polymerase II regulatory region sequence-specific DNA binding;RNA polymerase II core promoter proximal region sequence-specific DNA binding;core promoter proximal region sequence-specific DNA binding;RNA polymerase II regulatory region DNA binding;regulatory region nucleic acid binding;core promoter proximal region DNA binding;intronic transcription regulatory region sequence-specific DNA binding;RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding;nucleic acid binding;DNA binding;chromatin binding;binding;protein binding;enzyme binding;kinase binding;protein kinase binding;heat shock protein binding;chromatin DNA binding;identical protein binding;sequence-specific DNA binding;structure-specific DNA binding;protein self-association;transcription regulatory region DNA binding;intronic transcription regulatory region DNA binding;protein heterodimerization activity;protein dimerization activity;Hsp90 protein binding,response to stress;response to oxidative stress;signal transduction;regulation of mitotic cell cycle;response to heat;response to external stimulus;response to biotic stimulus;response to abiotic stimulus;response to endogenous stimulus;cellular process;response to extracellular stimulus;cellular component organization;cellular component assembly;regulation of protein modification process;response to chemical stimulus;response to stimulus;regulation of DNA metabolic process;regulation of cell cycle;macromolecular complex assembly;biological regulation,kinetochore;centrosome;microtubule organizing center;cytosol;macromolecular complex;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;protein complex;cell part,
Srcap,A0A087WNL7,A0A087WNL7;A0A087WNX7;A0A087WP63;A0A087WQ44,Snf2-related CREBBP activator protein,343257.78,11,30,100,5,4.2161752076612515,4.796742673020258,4.550255267426637,4.896016155074631,4.384866042898201,4.326421868218667,4.328264173219832,3.783136132022975,4.200698091772524,4.792351441068695,3.9764262002222335,5.182721832771841,4.800138397340981,4.5456385393586825,4.563619898880221,4.891594696749569,4.013174586682966,4.43940278004417,4.828963810039771,4.385631385538505,5.084103774827772,5.101927596380877,5.163238744796914,4.598303350221442,5.092506662039695,4.524104421934226,4.272272822178622,4.852098551208297,4.747643321968524,4.268410357783372,3.783905161352191,4.373585789822806,4.0117307540857565,4.741241378958047,3.7904440565093185,4.715107361717402,0.22343971065264423,0.35575697326824,0.3340800597653857,FALSE,1.320411323985566,0.42248310826943,0.638580634444968,-0.22383339920797063,FALSE,-0.8453478661211339,"nucleotide binding;nucleic acid binding;DNA binding;catalytic activity;binding;protein binding;ATP binding;pyrophosphatase activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;ATPase activity;purine nucleotide binding;nucleoside-triphosphatase activity;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding;histone binding",,nucleus;nucleoplasm;Golgi apparatus;chromatin remodeling complex;macromolecular complex;organelle;intracellular organelle;intracellular membrane-bounded organelle;protein complex;cell part,
Eloc,A0A087WNT1,A0A087WNT1;A0A087WQE6;P83940,Elongin-C,14939.68,16,30,100,11,8.725006561431345,8.672843002809987,8.494056969433833,8.526438777839019,8.556900607902412,8.564753932417895,8.430145857551683,8.559503711613026,8.791444816274621,8.988761212959558,8.85517720875783,8.552056216296025,8.45337275423411,8.821129916938089,8.742604876242218,8.795051250339492,8.328772291364928,8.338199792546755,8.393150560957237,8.704481411800138,8.705680790500107,8.460847435342071,8.462529980674244,8.435438056483054,8.62064392701531,8.652734489680416,8.637973136097486,8.460041371513109,8.47617376302073,8.474449629740343,8.735865139140394,8.207499212297158,8.234829269184102,8.770399552138473,8.928364485198689,8.68267714327105,0.12262013843474284,0.233952570327528,-0.2309495919975113,FALSE,-1.7307616828326549,0.6902821679096823,0.832191962828335,0.07069696298406214,FALSE,0.4166779004597857,,"nucleobase-containing compound metabolic process;transcription initiation, DNA-dependent;protein modification process;proteolysis;nitrogen compound metabolic process;metabolic process;catabolic process;biosynthetic process;cellular process;RNA metabolic process;protein metabolic process;cellular nitrogen compound metabolic process;macromolecule metabolic process;macromolecule modification;cellular metabolic process;primary metabolic process;proteolysis involved in cellular protein catabolic process;protein modification by small protein conjugation or removal",ubiquitin ligase complex;transcription elongation factor complex;macromolecular complex;protein complex;cell part,
Agfg1,A0A087WNV1,A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6,ArfGAP with FG repeats 1,53974.67,18,30,100,9,8.362208492867111,8.033698478388027,7.690752015446352,7.851266715199981,7.418657771031131,7.124732997420746,8.47272442496975,8.557908641454807,8.521215341873061,8.211704154050667,8.047489901987273,8.135919037712974,8.204906759376238,7.358532626753474,8.114296774882396,8.354837193215053,7.749523710836842,7.743910708174463,7.863233947116243,7.279636650232193,7.817455060872016,8.036978798625196,8.088086861664472,7.697162401325573,7.941625895197819,7.4924796191868435,7.317864550038418,8.011827987055495,7.276375766532873,7.180660247491897,7.306560304036974,6.971698168346396,7.533776236929082,7.7060604720779935,6.625735036437508,6.786395073312749,0.00167751918765768,0.0125590695075969,-0.6714564774207599,TRUE,-4.641263197256754,0.05428843502565179,0.205203973386918,-0.5660190180256057,FALSE,-2.3991087286454893,GTPase activator activity;enzyme activator activity;enzyme regulator activity;GTPase regulator activity;nucleoside-triphosphatase regulator activity,,,
Clasp1,A0A087WNW8,A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;E9Q6L0;E9QKH0;J3QP81,CLIP associating protein 1,162851.24,55,30,100,18,6.415301318037054,6.692110605619339,6.746272220735091,6.732700793514627,6.8757469551991,6.542354230729055,6.803272178956967,6.271724889745412,6.448411010975042,6.373595745799581,6.179502764708265,6.549311947765421,6.589200572239373,6.593667173394616,6.830617136482599,6.897756198214692,6.695542876323273,6.779739390298312,6.604472580327015,6.639513385720247,7.012092871006612,6.678660094846198,6.880779536578307,6.728422322964641,6.76609948754013,6.609542525643862,6.746461425593119,6.834120040615075,7.066563230234256,6.867565031848684,6.86402504770436,6.720027105438337,6.7546461457284135,6.487425698305971,6.576366243154619,6.173305961017933,0.03760058014259738,0.102123849036289,0.330970902698037,FALSE,2.5556613207295804,0.15162916506994825,0.363934965976862,-0.20391799000603592,FALSE,-1.604945091692923,,biological regulation,kinetochore;cytoplasm;macromolecular complex;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;protein complex;cell part,
